#UTCTIME
StationID,DATETIME,Type,VALUE
6803530,2017-05-03 00:00:00,Q,2.027486217
6803530,2017-05-04 00:00:00,Q,1.727327643
6803530,2017-05-05 00:00:00,Q,1.475307708
6803530,2017-05-06 00:00:00,Q,1.33089179
6803530,2017-05-07 00:00:00,Q,1.220456088
6803530,2017-05-08 00:00:00,Q,1.138337233
6803530,2017-05-09 00:00:00,Q,1.073208486
6803530,2017-05-10 00:00:00,Q,2.256852674
6803530,2017-05-11 00:00:00,Q,1.962357469
6803530,2017-05-12 00:00:00,Q,1.333723475
6803530,2017-05-13 00:00:00,Q,1.177980819
6803530,2017-05-14 00:00:00,Q,1.101525333
6803530,2017-05-15 00:00:00,Q,1.04489164
6803530,2017-05-16 00:00:00,Q,3.228120512
6803530,2017-05-17 00:00:00,Q,20.44476325
6803530,2017-05-18 00:00:00,Q,14.66812654
6803530,2017-05-19 00:00:00,Q,15.17782978
6803530,2017-05-20 00:00:00,Q,71.35845343
6803530,2017-05-21 00:00:00,Q,20.30317901
6803530,2017-05-22 00:00:00,Q,5.861587246
6803530,2017-05-23 00:00:00,Q,5.465151394
6803530,2017-05-24 00:00:00,Q,3.199803666
6803530,2017-05-25 00:00:00,Q,2.557011248
6803530,2017-05-26 00:00:00,Q,2.183228873
6803530,2017-05-27 00:00:00,Q,2.067129802
6803530,2017-05-28 00:00:00,Q,1.905723776
6803530,2017-05-29 00:00:00,Q,1.625386995
6803530,2017-05-30 00:00:00,Q,1.497961185
6803530,2017-05-31 00:00:00,Q,1.413010645
6803530,2017-06-01 00:00:00,Q,1.376198745
6803530,2017-06-02 00:00:00,Q,1.339386844
6803530,2017-06-03 00:00:00,Q,1.265763043
6803530,2017-06-04 00:00:00,Q,1.228951142
6803530,2017-06-05 00:00:00,Q,1.279921466
6803530,2017-06-06 00:00:00,Q,1.144000603
6803530,2017-06-07 00:00:00,Q,1.101525333
6803530,2017-06-08 00:00:00,Q,1.070376801
6803530,2017-06-09 00:00:00,Q,1.050555009
6803530,2017-06-10 00:00:00,Q,1.025069847
6803530,2017-06-11 00:00:00,Q,1.00241637
6803530,2017-06-12 00:00:00,Q,1.050555009
6803530,2017-06-13 00:00:00,Q,1.186475873
6803530,2017-06-14 00:00:00,Q,1.078871855
6803530,2017-06-15 00:00:00,Q,1.557426563
6803530,2017-06-16 00:00:00,Q,1.16665408
6803530,2017-06-17 00:00:00,Q,5.465151394
6803530,2017-06-18 00:00:00,Q,1.413010645
6803530,2017-06-19 00:00:00,Q,1.087366909
6803530,2017-06-20 00:00:00,Q,1.008079739
6803530,2017-06-21 00:00:00,Q,0.974099523
6803530,2017-06-22 00:00:00,Q,0.937287622
6803530,2017-06-23 00:00:00,Q,0.911802461
6803530,2017-06-24 00:00:00,Q,0.889148983
6803530,2017-06-25 00:00:00,Q,0.866495506
6803530,2017-06-26 00:00:00,Q,0.880653929
6803530,2017-06-27 00:00:00,Q,0.900475722
6803530,2017-06-28 00:00:00,Q,3.029902586
6803530,2017-06-29 00:00:00,Q,1.625386995
6803530,2017-06-30 00:00:00,Q,1.03922827
6803530,2017-07-01 00:00:00,Q,1.472476023
6803530,2017-07-02 00:00:00,Q,1.073208486
6803530,2017-07-03 00:00:00,Q,2.973268893
6803530,2017-07-04 00:00:00,Q,2.46073397
6803530,2017-07-05 00:00:00,Q,1.12417881
6803530,2017-07-06 00:00:00,Q,1.010911424
6803530,2017-07-07 00:00:00,Q,0.942950992
6803530,2017-07-08 00:00:00,Q,0.911802461
6803530,2017-07-09 00:00:00,Q,0.894812353
6803530,2017-07-10 00:00:00,Q,0.872158875
6803530,2017-07-11 00:00:00,Q,0.835346975
6803530,2017-07-12 00:00:00,Q,0.846673713
6803530,2017-07-13 00:00:00,Q,1.132673864
6803530,2017-07-14 00:00:00,Q,1.010911424
6803530,2017-07-15 00:00:00,Q,0.877822245
6803530,2017-07-16 00:00:00,Q,0.83251529
6803530,2017-07-17 00:00:00,Q,0.807030128
6803530,2017-07-18 00:00:00,Q,0.79004002
6803530,2017-07-19 00:00:00,Q,0.775881597
6803530,2017-07-20 00:00:00,Q,0.744733066
6803530,2017-07-21 00:00:00,Q,0.722079588
6803530,2017-07-22 00:00:00,Q,0.713584534
6803530,2017-07-23 00:00:00,Q,0.716416219
6803530,2017-07-24 00:00:00,Q,0.699426111
6803530,2017-07-25 00:00:00,Q,0.690931057
6803530,2017-07-26 00:00:00,Q,0.741901381
6803530,2017-07-27 00:00:00,Q,2.211545719
6803530,2017-07-28 00:00:00,Q,0.83251529
6803530,2017-07-29 00:00:00,Q,0.730574642
6803530,2017-07-30 00:00:00,Q,0.71075285
6803530,2017-07-31 00:00:00,Q,0.699426111
6803530,2017-08-01 00:00:00,Q,0.690931057
6803530,2017-08-02 00:00:00,Q,0.682436003
6803530,2017-08-03 00:00:00,Q,0.665445895
6803530,2017-08-04 00:00:00,Q,0.642792418
6803530,2017-08-05 00:00:00,Q,0.671109264
6803530,2017-08-06 00:00:00,Q,0.724911273
6803530,2017-08-07 00:00:00,Q,0.690931057
6803530,2017-08-08 00:00:00,Q,0.676772634
6803530,2017-08-09 00:00:00,Q,0.648455787
6803530,2017-08-10 00:00:00,Q,0.645624102
6803530,2017-08-11 00:00:00,Q,0.634297364
6803530,2017-08-12 00:00:00,Q,0.605980517
6803530,2017-08-13 00:00:00,Q,0.608812202
6803530,2017-08-14 00:00:00,Q,0.631465679
6803530,2017-08-15 00:00:00,Q,0.622970625
6803530,2017-08-16 00:00:00,Q,6.90931057
6803530,2017-08-17 00:00:00,Q,3.511288978
6803530,2017-08-18 00:00:00,Q,0.472891338
6803530,2017-08-19 00:00:00,Q,0.410594276
6803530,2017-08-20 00:00:00,Q,0.436079438
6803530,2017-08-21 00:00:00,Q,0.472891338
6803530,2017-08-22 00:00:00,Q,2.724080643
6803530,2017-08-23 00:00:00,Q,0.682436003
6803530,2017-08-24 00:00:00,Q,0.441742807
6803530,2017-08-25 00:00:00,Q,0.605980517
6803530,2017-08-26 00:00:00,Q,0.45590123
6803530,2017-08-27 00:00:00,Q,2.234199197
6803530,2017-08-28 00:00:00,Q,1.169485765
6803530,2017-08-29 00:00:00,Q,0.4615646
6803530,2017-08-30 00:00:00,Q,0.416257645
6803530,2017-08-31 00:00:00,Q,0.399267537
6803530,2017-09-01 00:00:00,Q,0.396435852
6803530,2017-09-02 00:00:00,Q,0.393604168
6803530,2017-09-03 00:00:00,Q,0.387940798
6803530,2017-09-04 00:00:00,Q,0.37661406
6803530,2017-09-05 00:00:00,Q,0.365287321
6803530,2017-09-06 00:00:00,Q,0.353960583
6803530,2017-09-07 00:00:00,Q,0.356792267
6803530,2017-09-08 00:00:00,Q,0.359623952
6803530,2017-09-09 00:00:00,Q,0.359623952
6803530,2017-09-10 00:00:00,Q,0.356792267
6803530,2017-09-11 00:00:00,Q,0.356792267
6803530,2017-09-12 00:00:00,Q,0.353960583
6803530,2017-09-13 00:00:00,Q,0.348297213
6803530,2017-09-14 00:00:00,Q,0.345465529
6803530,2017-09-15 00:00:00,Q,0.33413879
6803530,2017-09-16 00:00:00,Q,0.339802159
6803530,2017-09-17 00:00:00,Q,0.416257645
6803530,2017-09-18 00:00:00,Q,0.407762591
6803530,2017-09-19 00:00:00,Q,0.41908933
6803530,2017-09-20 00:00:00,Q,0.37095069
6803530,2017-09-21 00:00:00,Q,0.351128898
6803530,2017-09-22 00:00:00,Q,0.348297213
6803530,2017-09-23 00:00:00,Q,0.339802159
6803530,2017-09-24 00:00:00,Q,0.348297213
6803530,2017-09-25 00:00:00,Q,4.16257645
6803530,2017-09-26 00:00:00,Q,1.565921617
6803530,2017-09-27 00:00:00,Q,0.563505247
6803530,2017-09-28 00:00:00,Q,0.467227969
6803530,2017-09-29 00:00:00,Q,0.433247753
6803530,2017-09-30 00:00:00,Q,0.410594276
6803530,2017-10-01 00:00:00,Q,0.438911122
6803530,2017-10-02 00:00:00,Q,6.767726337
6803530,2017-10-03 00:00:00,Q,2.749565805
